Date,Revenue,MA_7,MA_30,Month_Name,Month_Number,Weekday,Weekend,Year,Month,Quarter,Week,Day,DayOfWeek,Lag_1,Lag_2,Lag_3,Lag_7,Lag_14,Lag_30,RollingMean7,RollingMean14,RollingMean30,RollingStd7,RollingStd30
2017-12-16,26167.17,39889.36285714286,57911.458333333336,December,12,Saturday,1,2017,12,4,50,16,5,38454.78,32906.09,57326.24,25482.73,39288.28,42258.32,39889.36285714286,43222.25285714286,57911.458333333336,10694.336027163574,41574.68086934041
2017-12-17,25305.02,38916.888571428564,57104.81766666667,December,12,Sunday,1,2017,12,4,50,17,6,26167.17,38454.78,32906.09,32112.34,42938.92,49504.24,38916.888571428564,41962.688571428575,57104.81766666667,11774.364574297806,41976.24411003204
2017-12-18,40501.89,38331.61571428571,57284.21166666666,December,12,Monday,0,2017,12,4,51,18,0,25305.02,26167.17,38454.78,44598.8,63197.87,35120.07,38331.61571428571,40341.54714285715,57284.21166666666,11544.43782806364,41890.46045173197
2017-12-19,28832.49,35641.95428571429,57338.479,December,12,Tuesday,0,2017,12,4,51,19,1,40501.89,25305.02,26167.17,47660.12,53858.89,27204.47,35641.95428571429,38553.94714285714,57338.479,11196.85011897661,41851.185822463834
2017-12-20,39472.63,33091.438571428575,56577.22933333334,December,12,Wednesday,0,2017,12,4,51,20,2,28832.49,40501.89,25305.02,57326.24,57929.6,62310.12,33091.438571428575,37235.592142857146,56577.22933333334,6469.758266330001,41965.18146332885
2017-12-21,23468.1,31743.154285714285,55564.69033333333,December,12,Thursday,0,2017,12,4,51,21,3,39472.63,28832.49,40501.89,32906.09,42663.2,53844.27,31743.154285714285,35864.51357142857,55564.69033333333,7427.379862263647,42397.62742383993
2017-12-22,21633.23,29340.07571428571,54847.227666666666,December,12,Friday,0,2017,12,4,51,22,4,23468.1,39472.63,28832.49,38454.78,39814.79,43157.11,29340.07571428571,34565.830714285716,54847.227666666666,7612.894463793606,42795.08467353432
2017-12-23,17211.87,28060.74714285714,52757.04,December,12,Saturday,1,2017,12,4,51,23,5,21633.23,23468.1,39472.63,26167.17,25482.73,79917.5,28060.74714285714,33975.055,52757.04,8881.687571643566,43058.89869645997
2017-12-24,7373.41,25499.088571428572,44413.12699999999,December,12,Sunday,1,2017,12,4,51,24,6,17211.87,21633.23,23468.1,25305.02,32112.34,257690.8,25499.088571428572,32207.988571428574,44413.12699999999,11886.571332404676,20121.35193862333
2017-12-25,14827.61,21831.334285714285,41756.61466666667,December,12,Monday,0,2017,12,4,52,25,0,7373.41,17211.87,21633.23,40501.89,44598.8,94522.98,21831.334285714285,30081.475000000002,41756.61466666667,10347.084306981942,18470.65615627925
