Feature,Importance
product_category_name_dvds_blu_ray,7.217533425654659e-05
product_category_name_livros_importados,7.197655161569426e-05
product_category_name_moveis_quarto,6.990516538995542e-05
seller_state_SE,5.357802848056144e-05
seller_state_RO,5.3030456827832275e-05
product_category_name_flores,5.3007744113812854e-05
product_category_name_pc_gamer,5.171776951690475e-05
seller_state_RN,4.684062319407013e-05
product_category_name_la_cuisine,4.4979018398351355e-05
seller_state_MS,3.9856001192808065e-05
seller_state_PA,3.523079596998027e-05
product_category_name_cds_dvds_musicais,2.627591857774879e-05
product_category_name_seguros_e_servicos,2.5818245595461112e-05
seller_state_PI,2.3179847337496317e-05
product_category_name_fashion_roupa_infanto_juvenil,3.200447879439534e-06
